year,MSE,R squared,Predicted MVP,Actual MVP,Label
1980,0.015723604865465597,0.6108848576783483,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,correct
1981,0.01032463233924343,0.6243575431670303,Julius Erving,Julius Erving,correct
1982,0.0168717245559645,0.49304199731359255,Magic Johnson,Moses Malone,incorrect
1983,0.03477539770874772,0.304812384073171,Moses Malone,Moses Malone,correct
1984,0.024305352437812025,0.5422339972450769,Larry Bird,Larry Bird,correct
1985,0.007538464500697593,0.8283175406044079,Larry Bird,Larry Bird,correct
1986,0.0204876193137944,0.6521994931331088,Larry Bird,Larry Bird,correct
1987,0.0161619293184673,0.7489048814642565,Magic Johnson,Magic Johnson,correct
1988,0.018582049307675895,0.7302497231317073,Michael Jordan,Michael Jordan,correct
1989,0.005879772464175427,0.8933242150271922,Magic Johnson,Magic Johnson,correct
1990,0.027187332715933803,0.5855901840770131,Magic Johnson,Magic Johnson,correct
1991,0.00810507282259201,0.8557569573268311,Michael Jordan,Michael Jordan,correct
1992,0.004627847987832772,0.9251645175235599,Michael Jordan,Michael Jordan,correct
1993,0.02174875187780634,0.7354347728264037,Michael Jordan,Charles Barkley,incorrect
1994,0.022907148645625288,0.686822274218742,David Robinson,Hakeem Olajuwon,incorrect
1995,0.025349882059259556,0.6180247635734128,David Robinson,David Robinson,correct
1996,0.010256710239257725,0.83265532624282,Michael Jordan,Michael Jordan,correct
1997,0.007809373935871715,0.8770136660287707,Karl Malone,Karl Malone,correct
1998,0.018903574384704316,0.7184630311973264,Michael Jordan,Michael Jordan,correct
1999,0.05565493377660961,-0.07038931655806113,Shaquille O'Neal,Karl Malone,incorrect
2000,0.009772604566185323,0.8334196201175242,Shaquille O'Neal,Shaquille O'Neal,correct
2001,0.021419030772646567,0.6847126029445199,Allen Iverson,Allen Iverson,correct
2002,0.04300015260668468,0.3065612726214998,Tim Duncan,Tim Duncan,correct
2003,0.05928710604696623,0.2216467043988779,Tim Duncan,Tim Duncan,correct
2004,0.024388869391360767,0.6699283642140453,Kevin Garnett,Kevin Garnett,correct
2005,0.08865681005252629,-0.20595214502696613,Amar'e Stoudemire,Steve Nash,incorrect
2006,0.06483889716326079,-0.02133037452019515,LeBron James,Steve Nash,incorrect
2007,0.025089735567310967,0.655593356716743,Dirk Nowitzki,Dirk Nowitzki,correct
2008,0.030604410008197497,0.5922776108345449,Kobe Bryant,Kobe Bryant,correct
2009,0.017291824484609763,0.8246897114648819,LeBron James,LeBron James,correct
2010,0.029128667476092957,0.6380209842577043,LeBron James,LeBron James,correct
2011,0.044897675239235386,0.45042731755222554,LeBron James,Derrick Rose,incorrect
2012,0.03071713401781664,0.596519094740181,LeBron James,LeBron James,correct
2013,0.016768171816626022,0.7803678706606085,LeBron James,LeBron James,correct
2014,0.024552675739868805,0.6742121471807652,Kevin Durant,Kevin Durant,correct
2015,0.017956318025944714,0.802710389323249,Stephen Curry,Stephen Curry,correct
2016,0.039552934826747384,0.5831649185298333,Stephen Curry,Stephen Curry,correct
2017,0.08747024627984391,0.10715206313929526,Russell Westbrook,Russell Westbrook,correct
2018,0.013098989977919827,0.8556093114899438,James Harden,James Harden,correct
2019,0.03789239680306265,0.5869785906040104,James Harden,Giannis Antetokounmpo,incorrect
2020,0.018305911100445816,0.801468083491428,Giannis Antetokounmpo,Giannis Antetokounmpo,correct
2021,0.017792366659888946,0.7871908129978125,Nikola Jokić,Nikola Jokić,correct
2022,0.021536661186827465,0.7702136568005629,Joel Embiid,Nikola Jokić,incorrect
2023,0.022672484320398017,0.7586101674128933,Nikola Jokić,Joel Embiid,incorrect
2024,0.023085026775777426,0.7775960309274387,Nikola Jokić,Nikola Jokić,correct
2025,0.007835231731900457,0.9225035449201797,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,correct
